,Unnamed: 0,firm,kiscode,kiscode_tf
28,28,경산에코에너지(주),H68966,18068966
29,29,동부권푸른물(주),IR6394,1902906394
30,30,(주)티에스케이엔워터테크,J95995,21095995
31,31,스튜디오에스(주),F15478,16015478
32,32,신경주역세권공영개발(주),C83859,13083859
33,33,에스비에스바이아컴(유),167204,167204
34,34,(주)엠시에타,467128,467128
35,35,(주)리앤에스스포츠,F15477,16015477
36,36,신경주지역개발(주),C83860,13083860
37,37,포천바이오에너지(주),H24181,18024181
38,38,(주)여수엑스포환경,F15476,16015476
39,39,(주)부산바이오에너지,J20263,21020263
40,40,(주)블렌딩,IM8019,1902408019
41,41,(주)아프리카콜로세움,HG8036,1801708036
42,42,(주)에스비에스디지털뉴스랩,IX1152,1903601152
43,43,(주)지에프앤엘,JK6732,2102206732
44,44,(주)코나드,IL5389,1902305389
45,45,(주)티에스케이엠엔에스,JE5625,2101505625
46,46,(주)평택싸이로,IU7748,1903307748
47,47,(주)포맷티스트,JJ8376,2102108376
48,48,네오시티(주),IQ2140,1902802140
49,49,대구남부에이엠씨(주),C77629,13077629
50,50,양산석계에이엠씨(주),I63636,19063636
51,51,양주동서도로(주),G44195,17044195
52,52,(주)에이엠피,IR8028,1902908028
0,0,코오롱인더스트리(주),F03302,16003302
1,1,코오롱글로벌(주),500461,500461
2,2,코오롱플라스틱(주),825841,825841
3,3,코오롱머티리얼(주),C04456,13004456
4,4,(주)코오롱,320234,320234
5,5,코오롱생명과학(주),146681,146681
6,6,코오롱엘에스아이(주),HL1995,1802301995
7,7,코오롱글로텍(주),325732,325732
8,8,환경에너지솔루션(주),197695,197695
9,9,코오롱베니트(주),124312,124312
10,10,코오롱제약(주),351776,351776
11,11,코오롱데크컴퍼지트(주),090616,90616
12,12,코오롱아우토(주),160146,160146
13,13,그린나래(주),388096,388096
14,14,코오롱오토모티브(주),HP3927,1802703927
15,15,(주)엠오디,479692,479692
16,16,이피엔워터(주),189645,189645
17,17,코오롱바스프이노폼(주),HL9760,1802309760
18,18,리베토코리아(주),IY0312,1903700312
19,19,네이처브리지(주),CB8543,1301208543
20,20,(주)코오롱인베스트먼트,137418,137418
21,21,덕평랜드(주),372686,372686
22,22,코오롱하우스비전(주),HQ4238,1802804238
23,23,코오롱오토케어서비스(주),IW2092,1903502092
24,24,스위트밀(주),389116,389116
25,25,(주)케이에프엔티,372658,372658
26,26,천안북부일반산업단지(주),JJ0927,2102100927
27,27,(주)테크비전,CD6888,1301406888
28,28,(주)씨에이텍,HV9042,1803409042
29,29,이노베이스(주),HM1474,1802401474
30,30,코오롱에코너지(주),C06928,13006928
31,31,더블유파트너스(주),G04419,17004419
32,32,아토메탈테크코리아(주),JB2158,2101202158
33,33,양양풍력발전(주),HS8482,1803108482
34,34,코오롱오토플랫폼(주),IL8094,1902308094
35,35,(주)데크씨에스피,J27703,21027703
36,36,(주)셀빅개발,946958,946958
37,37,명지에너지(주),HQ1817,1802801817
38,38,코오롱에코원(주),HL9783,1802309783
39,39,케이에이치파워(주),M34665,24034665
40,40,코오롱하이드로제닉스(주),L83771,23083771
0,0,LG전자(주),196275,196275
1,1,엘지디스플레이(주),384267,384267
2,2,(주)LG화학,162209,162209
3,3,(주)LG유플러스,064847,64847
4,4,엘지이노텍(주),380687,380687
5,5,(주)LG생활건강,162210,162210
6,6,(주)엘지하우시스,C81396,13081396
7,7,(주)LG상사,610224,610224
8,8,(주)LG,350079,350079
9,9,(주)지투알,820393,820393
10,10,(주)실리콘웍스,187803,187803
11,11,(주)로보스타,186153,186153
12,12,(주)엘지씨엔에스,812536,812536
13,13,(주)하이프라자,137881,137881
14,14,(주)판토스,027952,27952
15,15,코카콜라음료(주),540633,540633
16,16,(주)에스앤아이코퍼레이션,189859,189859
17,17,(주)씨에스원파트너,C46191,13046191
18,18,(주)아인텔레서비스,265419,265419
19,19,하이엠솔루텍(주),B98015,12098015
20,20,(주)팜한농,F17294,16017294
21,21,(주)씨에스리더,189465,189465
22,22,(주)테크로스환경서비스,195756,195756
23,23,(주)하이텔레서비스,F06277,16006277
24,24,해태에이치티비(주),134366,134366
25,25,(주)서브원,JJ3631,2102103631
26,26,(주)비즈테크파트너스,222130,222130
27,27,(주)에이치에스애드,295569,295569
