,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,성명,주식수,지분율,주식수,지분율,주식수,지분율
77,비금융회사,케이티링커스㈜,동일인측,동일인,㈜케이티,3075232,87.30%,-,-,3075232,87.30%
78,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스남부,83292,2.36%,-,-,83292,2.36%
79,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스북부,62496,1.77%,-,-,62496,1.77%
80,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티엠오에스남부,33952,0.96%,-,-,33952,0.96%
81,비금융회사,케이티링커스㈜,동일인측,동일인 측 합계,동일인 측 합계,3254972,92.41%,-,-,3254972,92.41%
82,비금융회사,케이티링커스㈜,기타주주,기타,기타,267500,7.59%,-,-,267500,7.59%
83,비금융회사,케이티링커스㈜,총계,총계,총계,3522472,100.00%,-,-,3522472,100.00%
84,비금융회사,케이티커머스㈜,동일인측,동일인,㈜케이티,266000,19.00%,-,-,266000,19.00%
85,비금융회사,케이티커머스㈜,동일인측,계열회사,㈜케이티씨에스,1134000,81.00%,-,-,1134000,81.00%
86,비금융회사,케이티커머스㈜,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000,100.00%
87,비금융회사,케이티커머스㈜,기타주주,기타,기타,-,-,-,-,-,-
88,비금융회사,케이티커머스㈜,총계,총계,총계,1400000,100.00%,-,-,1400000,100.00%
89,비금융회사,케이티텔레캅㈜,동일인측,동일인,㈜케이티,5765911,86.82%,-,-,5765911,80.79%
90,비금융회사,케이티텔레캅㈜,동일인측,동일인 측 합계,동일인 측 합계,5765911,86.82%,-,-,5765911,80.79%
91,비금융회사,케이티텔레캅㈜,기타주주,기타,기타,875442,13.18%,495163,100.00%,1370605,19.21%
92,비금융회사,케이티텔레캅㈜,총계,총계,총계,6641353,100.00%,495163,100.00%,7136516,100.00%
93,비금융회사,케이티파워텔㈜,동일인측,동일인,㈜케이티,7771418,44.85%,-,-,7771418,44.85%
94,비금융회사,케이티파워텔㈜,동일인측,등기된 임원,김봉균,100,0.00%,-,-,100,0.00%
95,비금융회사,케이티파워텔㈜,동일인측,등기된 임원,배기동,95,0.00%,-,-,95,0.00%
96,비금융회사,케이티파워텔㈜,동일인측,동일인 측 합계,동일인 측 합계,7771613,44.85%,-,-,7771613,44.85%
97,비금융회사,케이티파워텔㈜,기타주주,기타,기타,9557819,55.15%,-,-,9557819,55.15%
98,비금융회사,케이티파워텔㈜,총계,총계,총계,17329432,100.00%,-,-,17329432,100.00%
99,비금융회사,케이티하이텔㈜,동일인측,동일인,(주)케이티,22750000,63.70%,-,-,22750000,63.70%
