,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3
124,비금융회사,㈜케이티에이엠씨,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000,100.00%,동일인 측 합계
125,비금융회사,㈜케이티에이엠씨,기타주주,기타,기타,-,-,-,-,-,-,기타
126,비금융회사,㈜케이티에이엠씨,총계,총계,총계,1400000,100.00%,-,-,1400000,100.00%,총계
127,비금융회사,케이티지디에이치㈜,동일인측,동일인,㈜케이티,7400000,100.00%,-,-,7400000,100.00%,동일인
128,비금융회사,케이티지디에이치㈜,동일인측,동일인 측 합계,동일인 측 합계,7400000,100.00%,-,-,7400000,100.00%,동일인 측 합계
129,비금융회사,케이티지디에이치㈜,기타주주,기타,기타,-,-,-,-,-,-,기타
130,비금융회사,케이티지디에이치㈜,총계,총계,총계,7400000,100.00%,-,-,7400000,100.00%,총계
131,비금융회사,㈜케이디리빙,동일인측,계열회사,㈜케이티에스테이트,102000,51.00%,-,-,102000,51.00%,계열회사
132,비금융회사,㈜케이디리빙,동일인측,동일인 측 합계,동일인 측 합계,102000,51.00%,-,-,102000,51.00%,동일인 측 합계
133,비금융회사,㈜케이디리빙,기타주주,기타,기타,98000,49.00%,-,-,98000,49.00%,기타
134,비금융회사,㈜케이디리빙,총계,총계,총계,200000,100.00%,-,-,200000,100.00%,총계
135,비금융회사,㈜케이티샛,동일인측,동일인,㈜케이티,10000000,100.00%,-,-,10000000,100.00%,동일인
136,비금융회사,㈜케이티샛,동일인측,동일인 측 합계,동일인 측 합계,10000000,100.00%,-,-,10000000,100.00%,동일인 측 합계
137,비금융회사,㈜케이티샛,기타주주,기타,기타,-,-,-,-,-,-,기타
138,비금융회사,㈜케이티샛,총계,총계,총계,10000000,100.00%,-,-,10000000,100.00%,총계
139,비금융회사,㈜케이티스포츠,동일인측,동일인,㈜케이티,1980000,66.00%,-,-,1980000,66.00%,동일인
140,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티씨에스,180000,6.00%,-,-,180000,6.00%,계열회사
141,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티아이에스,180000,6.00%,-,-,180000,6.00%,계열회사
142,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티스카이라이프,540000,18.00%,-,-,540000,18.00%,계열회사
143,비금융회사,㈜케이티스포츠,동일인측,계열회사,비씨카드㈜,120000,4.00%,-,-,120000,4.00%,계열회사
144,비금융회사,㈜케이티스포츠,동일인측,동일인 측 합계,동일인 측 합계,3000000,100.00%,-,-,3000000,100.00%,동일인 측 합계
145,비금융회사,㈜케이티스포츠,기타주주,기타,기타,-,-,-,-,-,-,기타
146,비금융회사,㈜케이티스포츠,총계,총계,총계,3000000,100.00%,-,-,3000000,100.00%,총계
147,비금융회사,㈜오토피온,동일인측,동일인,㈜케이티,400000,100.00%,-,-,400000,100.00%,동일인
148,비금융회사,㈜오토피온,동일인측,동일인 측 합계,동일인 측 합계,400000,100.00%,-,-,400000,100.00%,동일인 측 합계
149,비금융회사,㈜오토피온,기타주주,기타,기타,-,-,-,-,-,-,기타
150,비금융회사,㈜오토피온,총계,총계,총계,400000,100.00%,-,-,400000,100.00%,총계
151,비금융회사,㈜케이티엠모바일,동일인측,동일인,㈜케이티,40000000,100.00%,-,-,40000000,100.00%,동일인
152,비금융회사,㈜케이티엠모바일,동일인측,동일인 측 합계,동일인 측 합계,40000000,100.00%,-,-,40000000,100.00%,동일인 측 합계
153,비금융회사,㈜케이티엠모바일,기타주주,기타,기타,-,-,-,-,-,-,기타
154,비금융회사,㈜케이티엠모바일,총 계,총 계,총 계,40000000,100.00%,-,-,40000000,100.00%,총 계
155,비금융회사,㈜ 케이티서비스 북부,동일인측,동일인,㈜케이티,476094,67.31%,-,-,476094,67.31%,동일인
156,비금융회사,㈜ 케이티서비스 북부,동일인측,동일인 측 합계,동일인 측 합계,476094,67.31%,-,-,476094,67.31%,동일인 측 합계
157,비금융회사,㈜ 케이티서비스 북부,기타주주,기타,기타,231191,32.69%,-,-,231191,32.69%,기타
158,비금융회사,㈜ 케이티서비스 북부,총 계,총 계,총 계,707285,100.00%,-,-,707285,100.00%,총 계
159,비금융회사,㈜ 케이티서비스남부,동일인측,동일인,㈜케이티,531127,76.38%,-,-,531127,76.38%,동일인
160,비금융회사,㈜ 케이티서비스남부,동일인측,계열회사,㈜케이티서비스북부,6624,0.95%,-,-,6624,0.95%,계열회사
161,비금융회사,㈜ 케이티서비스남부,동일인측,동일인 측 합계,동일인 측 합계,537751,77.33%,-,-,537751,77.33%,동일인 측 합계
162,비금융회사,㈜ 케이티서비스남부,기타주주,기타,기타,157664,22.67%,-,-,157664,22.67%,기타
163,비금융회사,㈜ 케이티서비스남부,총 계,총 계,총 계,695415,100.00%,-,-,695415,100.00%,총 계
164,비금융회사,㈜후후앤컴퍼니,동일인측,계열회사,㈜케이티씨에스,2000000,100.00%,-,-,2000000,100.00%,계열회사
165,비금융회사,㈜후후앤컴퍼니,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000,100.00%,동일인 측 합계
166,비금융회사,㈜후후앤컴퍼니,기타주주,기타,기타,-,-,-,-,-,-,기타
167,비금융회사,㈜후후앤컴퍼니,총계,총계,총계,2000000,100.00%,-,-,2000000,100.00%,총계
168,비금융회사,㈜플레이디,동일인측,동일인,㈜케이티,3008989,23.46%,-,-,3008989,23.46%,동일인
169,비금융회사,㈜플레이디,동일인측,계열회사,㈜나스미디어,6018151,46.92%,-,-,6018151,46.92%,계열회사
170,비금융회사,㈜플레이디,동일인측,동일인 측 합계,동일인 측 합계,9027140,70.38%,-,-,9027140,70.38%,동일인 측 합계
171,비금융회사,㈜플레이디,기타주주,기타,기타,3800000,29.62%,-,-,3800000,29.62%,기타
172,비금융회사,㈜플레이디,총계,총계,총계,12827140,100.00%,-,-,12827140,100.00%,총계
173,비금융회사,㈜케이티엠오에스북부,동일인측,동일인,㈜케이티,409991,80.87%,-,-,409991,80.87%,동일인
174,비금융회사,㈜케이티엠오에스북부,동일인측,자기주식,㈜케이티엠오에스북부,97013,19.13%,-,-,97013,19.13%,자기주식
175,비금융회사,㈜케이티엠오에스북부,동일인측,동일인측 합계,동일인측 합계,507004,100.00%,-,-,507004,100.00%,동일인측 합계
176,비금융회사,㈜케이티엠오에스북부,기타주주,기타,기타,-,-,-,-,-,-,기타
177,비금융회사,㈜케이티엠오에스북부,총계,총계,총계,507004,100.00%,-,-,507004,100.00%,총계
178,비금융회사,㈜케이티엠오에스남부,동일인측,동일인,㈜케이티,248515,75.07%,-,-,248515,75.07%,동일인
179,비금융회사,㈜케이티엠오에스남부,동일인측,자기주식,㈜케이티엠오에스남부,78402,23.68%,-,-,78402,23.68%,자기주식
180,비금융회사,㈜케이티엠오에스남부,동일인측,동일인측 합계,동일인측 합계,326917,98.75%,-,-,326917,98.75%,동일인측 합계
181,비금융회사,㈜케이티엠오에스남부,기타주주,기타,기타,4126,1.25%,-,-,4126,1.25%,기타
182,비금융회사,㈜케이티엠오에스남부,총계,총계,총계,331043,100.00%,-,-,331043,100.00%,총계
183,비금융회사,㈜케이에이치에스,동일인측,비영리법인,(재)케이티그룹희망나눔재단,20000,100.00%,-,-,20000,100.00%,비영리법인
184,비금융회사,㈜케이에이치에스,동일인측,동일인측 합계,동일인측 합계,20000,100.00%,-,-,20000,100.00%,동일인측 합계
185,비금융회사,㈜케이에이치에스,기타주주,기타,기타,-,-,-,-,-,-,기타
186,비금융회사,㈜케이에이치에스,총계,총계,총계,20000,100.00%,-,-,20000,100.00%,총계
187,비금융회사,넥스트커넥트피에프브이㈜,동일인측,동일인,㈜케이티,73130099,100.00%,-,-,73130099,95.00%,동일인
188,비금융회사,넥스트커넥트피에프브이㈜,동일인측,동일인측 합계,동일인측 합계,73130099,100.00%,-,-,73130099,95.00%,동일인측 합계
189,비금융회사,넥스트커넥트피에프브이㈜,기타주주,기타,기타,-,-,3848953,100.00%,3848953,5.00%,기타
190,비금융회사,넥스트커넥트피에프브이㈜,총계,총계,총계,73130099,100.00%,3848953,100.00%,76979052,100.00%,총계
191,비금융회사,(주)케이티희망지음,동일인측,동일인,㈜케이티,300000,100.00%,-,-,300000,100.00%,동일인
192,비금융회사,(주)케이티희망지음,동일인측,동일인측 합계,동일인측 합계,300000,100.00%,-,-,300000,100.00%,동일인측 합계
193,비금융회사,(주)케이티희망지음,기타주주,기타,기타,-,-,-,-,-,-,기타
194,비금융회사,(주)케이티희망지음,총계,총계,총계,300000,100.00%,-,-,300000,100.00%,총계
195,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,동일인,㈜케이티,600000,100.00%,-,-,600000,54.25%,동일인
196,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,계열회사,㈜케이티아이에스,-,-,102217,20.20%,102217,9.24%,계열회사
197,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,동일인측 합계,동일인측 합계,600000,100.00%,102217,20.20%,702217,63.50%,동일인측 합계
198,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,기타주주,기타,기타,-,-,403705,79.80%,403705,36.50%,기타
199,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,총계,총계,총계,600000,100.00%,505922,100.00%,1105922,100.00%,총계
200,비금융회사,㈜케이리얼티임대주택제3호위탁관리부동산투자회사,동일인측,계열회사,㈜케이티에스테이트,-,-,886000,100.00%,886000,83.58%,계열회사
201,비금융회사,㈜케이리얼티임대주택제3호위탁관리부동산투자회사,동일인측,계열회사,㈜케이티에이엠씨,60000,34.48%,-,-,60000,5.66%,계열회사
202,비금융회사,㈜케이리얼티임대주택제3호위탁관리부동산투자회사,동일인측,동일인측 합계,동일인측 합계,60000,34.48%,886000,100.00%,946000,89.25%,동일인측 합계
203,비금융회사,㈜케이리얼티임대주택제3호위탁관리부동산투자회사,기타주주,기타,기타,114000,65.52%,-,-,114000,10.75%,기타
204,비금융회사,㈜케이리얼티임대주택제3호위탁관리부동산투자회사,총계,총계,총계,174000,100.00%,886000,100.00%,1060000,100.00%,총계
205,비금융회사,㈜스토리위즈,동일인측,동일인,㈜케이티,2800000,100.00%,-,-,2800000,100.00%,동일인
206,비금융회사,㈜스토리위즈,동일인측,동일인측 합계,동일인측 합계,2800000,100.00%,-,-,2800000,100.00%,동일인측 합계
207,비금융회사,㈜스토리위즈,기타주주,기타,기타,-,-,-,-,-,-,기타
208,비금융회사,㈜스토리위즈,총계,총계,총계,2800000,100.00%,-,-,2800000,100.00%,총계
209,금융회사,㈜스마트로,동일인측,계열회사,이니텍㈜,626736,50.21%,-,-,626736,50.21%,계열회사
210,금융회사,㈜스마트로,동일인측,계열회사,비씨카드㈜,178728,14.32%,-,-,178728,14.32%,계열회사
211,금융회사,㈜스마트로,동일인측,동일인 측 합계,동일인 측 합계,805464,64.53%,-,-,805464,64.53%,동일인 측 합계
212,금융회사,㈜스마트로,기타주주,기타,기타,442816,35.47%,-,-,442816,35.47%,기타
213,금융회사,㈜스마트로,총계,총계,총계,1248280,100.00%,-,-,1248280,100.00%,총계
214,금융회사,비씨카드㈜,동일인측,동일인,㈜케이티,3059560,69.54%,-,-,3059560,69.54%,동일인
215,금융회사,비씨카드㈜,동일인측,동일인 측 합계,동일인 측 합계,3059560,69.54%,-,-,3059560,69.54%,동일인 측 합계
216,금융회사,비씨카드㈜,기타주주,기타,기타,1340440,30.46%,-,-,1340440,30.46%,기타
217,금융회사,비씨카드㈜,총계,총계,총계,4400000,100.00%,-,-,4400000,100.00%,총계
218,금융회사,브이피㈜,동일인측,계열회사,비씨카드㈜,376993,50.90%,-,-,376993,50.90%,계열회사
219,금융회사,브이피㈜,동일인측,등기된 임원,김준,58,0.01%,,,58,0.01%,등기된 임원
220,금융회사,브이피㈜,동일인측,등기된 임원,김도근,40,0.01%,,,40,0.01%,등기된 임원
221,금융회사,브이피㈜,동일인측,동일인 측 합계,동일인 측 합계,377091,50.92%,-,-,377091,50.92%,동일인 측 합계
222,금융회사,브이피㈜,기타주주,기타,기타,363495,49.08%,-,-,363495,49.08%,기타
223,금융회사,브이피㈜,총계,총계,총계,740586,100.00%,-,-,740586,100.00%,총계
