,Unnamed: 0,firm,kiscode,kiscode_tf
64,64,해모둠태양광(주),JX5070,2103605070
65,65,(주)데이터애널리틱스랩,JD9754,2101409754
66,66,(주)라온태양광,JE0533,2101500533
67,67,(주)마루태양광,JE0530,2101500530
68,68,(주)미르태양광,JE0534,2101500534
69,69,(주)서오창테크노밸리,LO5130,2302605130
70,70,(주)서울역북부역세권개발,LG6496,2301706496
71,71,(주)소수태양광,JE0531,2101500531
72,72,(주)수리태양광,JE0529,2101500529
73,73,(주)아란태양광,JE0532,2101500532
74,74,(주)안성테크노밸리,JR5498,2102905498
75,75,(주)원오원글로벌,HV9598,1803409598
76,76,(주)제이용인테크노밸리,LA7231,2301107231
77,77,(주)하나트러스트제5호위탁관리부동산투자회사,LF2393,2301602393
78,78,(주)한화에스테이트서비스,JP7592,2102707592
79,79,양주에코텍(주),G86721,17086721
80,80,에이치글로벌파트너스(유),M28068,24028068
81,81,천장산풍력(주),LB4320,2301204320
82,82,플라자디앤씨(주),JQ0670,2102800670
83,83,해나라태양광(주),IR3303,1902903303
84,84,해돋이태양광(주),IR2747,1902902747
85,85,해오름태양광발전소(주),JV9440,2103409440
86,86,(주)한화금융에셋,M39796,24039796
0,0,엘에스일렉트릭(주),388696,388696
1,1,가온전선(주),380342,380342
2,2,(주)E1,620025,620025
3,3,(주)LS네트웍스,610356,610356
4,4,(주)LS,380377,380377
5,5,(주)예스코홀딩스,400017,400017
6,6,엘에스전선아시아(주),HD5933,1801405933
7,7,엘에스전선(주),C17566,13017566
8,8,엘에스엠트론(주),C17572,13017572
9,9,엘에스오토모티브테크놀로지스(주),IS9394,1903109394
10,10,엘에스니꼬동제련(주),109492,109492
11,11,(주)예스코,JB2349,2101202349
12,12,엘에스메탈(주),F13282,16013282
13,13,(주)지앤피,371076,371076
14,14,(주)예스코이에스,125564,125564
15,15,엘에스메카피온(주),023872,23872
16,16,엘에스글로벌인코퍼레이티드(주),388748,388748
17,17,(주)베스트토요타,J17432,21017432
18,18,엘에스빌드윈(주),118365,118365
19,19,(주)지알엠,C17341,13017341
20,20,(주)이원컨테이너터미널,490606,490606
21,21,엘에스이브이코리아(주),IV6874,1903406874
22,22,캐스코(주),376093,376093
23,23,(주)선우,124618,124618
24,24,(주)대한가스기기,657905,657905
25,25,(주)디케이씨,153257,153257
26,26,엘에스알스코(주),JG6940,2101706940
27,27,(주)모보,168530,168530
28,28,(주)토리컴,118893,118893
29,29,한성피씨건설(주),C87348,13087348
30,30,(주)엠비케이코퍼레이션,IG0359,1901700359
31,31,온산탱크터미널(주),F14857,16014857
32,32,(주)한성플랜지,C78187,13078187
33,33,엘에스아이앤디(주),L38995,23038995
34,34,씨에스마린(주),H80953,18080953
35,35,(주)예스코컨설팅,IZ0157,1903800157
36,36,엘에스에이홀딩스(주),IS7468,1903107468
37,37,신대성전기(주),381748,381748
38,38,(주)흥업,614092,614092
39,39,엘에스사우타(주),780448,780448
40,40,(주)케이제이모터라드,495469,495469
41,41,(주)이원물류,085117,85117
42,42,(주)스포츠모터사이클코리아,C94562,13094562
43,43,(주)바이클로,HQ2781,1802802781
44,44,제이에스전선(주),380512,380512
45,45,(주)농가온,F03701,16003701
