,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
52,비금융회사,케이티스카이라이프,동일인측,자기주식,케이티스카이라이프,258613,0.54%,-,-,258613.0,0.54%,47821966.0,0.005407828695290361,50,0,,0.5053768178414079,
53,비금융회사,케이티스카이라이프,동일인측,동일인 측 합계,동일인 측 합계,24168113,50.54%,-,-,24168113.0,50.54%,47821966.0,0.5053768178414079,50,50,,,
54,비금융회사,케이티스카이라이프,기타주주,기타,기타,23653853,49.46%,-,-,23653853.0,49.46%,47821966.0,0.49462318215859213,99,99,0.49462318215859213,0.49462318215859213,
55,비금융회사,케이티스카이라이프,총계,총계,총계,47821966,100.00%,-,-,47821966.0,100.00%,47821966.0,1.0,50,50,,,
56,비금융회사,케이티씨에스,동일인측,동일인,케이티,3177426,7.44%,-,-,3177426.0,7.44%,42685000.0,0.07443893639451798,0,0,0.07443893639451798,0.09557985240716879,
57,비금융회사,케이티씨에스,동일인측,등기된 임원,양승규,20000,0.05%,-,-,20000.0,0.05%,42685000.0,0.0004685486704931475,50,0,,0.09557985240716879,
58,비금융회사,케이티씨에스,동일인측,등기된 임원,유태흥,10400,0.02%,-,-,10400.0,0.02%,42685000.0,0.0002436453086564367,50,0,,0.09557985240716879,
59,비금융회사,케이티씨에스,동일인측,자기주식,케이티씨에스,872000,2.04%,-,-,872000.0,2.04%,42685000.0,0.02042872203350123,50,0,,0.09557985240716879,
60,비금융회사,케이티씨에스,동일인측,계열회사,케이티아이에스,4954704,11.61%,-,-,4954704.0,11.61%,42685000.0,0.11607599859435398,1,1,0.11607599859435398,0.11607599859435398,케이티아이에스
61,비금융회사,케이티씨에스,동일인측,계열회사,케이티하이텔,4800000,11.25%,-,-,4800000.0,11.25%,42685000.0,0.11245168091835539,1,1,0.11245168091835539,0.11245168091835539,케이티하이텔
62,비금융회사,케이티씨에스,동일인측,동일인측 합계,동일인측 합계,13834530,32.41%,-,-,13834530.0,32.41%,42685000.0,0.3241075319198782,50,50,,,
63,비금융회사,케이티씨에스,기타주주,기타,기타,28850470,67.59%,-,-,28850470.0,67.59%,42685000.0,0.6758924680801218,99,99,0.6758924680801218,0.6758924680801218,
64,비금융회사,케이티씨에스,총 계,총 계,총 계,42685000,100.00%,-,-,42685000.0,100.00%,42685000.0,1.0,50,50,,,
65,비금융회사,케이티에스테이트,동일인측,동일인,케이티,15848819,100.00%,-,-,15848819.0,100.00%,15848819.0,1.0,0,0,1.0,1.0,
66,비금융회사,케이티에스테이트,동일인측,동일인 측 합계,동일인 측 합계,15848819,100.00%,-,-,15848819.0,100.00%,15848819.0,1.0,50,50,,,
67,비금융회사,케이티에스테이트,기타주주,기타,기타,-,-,-,-,,-,15848819.0,,99,99,0.0,0.0,
68,비금융회사,케이티에스테이트,총계,총계,총계,15848819,100.00%,-,-,15848819.0,100.00%,15848819.0,1.0,50,50,,,
69,비금융회사,케이티엠앤에스,동일인측,동일인,케이티,47400000,100.00%,-,-,47400000.0,100.00%,47400000.0,1.0,0,0,1.0,1.0,
70,비금융회사,케이티엠앤에스,동일인측,동일인 측 합계,동일인 측 합계,47400000,100.00%,-,-,47400000.0,100.00%,47400000.0,1.0,50,50,,,
71,비금융회사,케이티엠앤에스,기타주주,기타,기타,-,-,-,-,,-,47400000.0,,99,99,0.0,0.0,
72,비금융회사,케이티엠앤에스,총계,총계,총계,47400000,100.00%,-,-,47400000.0,100.00%,47400000.0,1.0,50,50,,,
73,비금융회사,케이티엠하우스 ※1),동일인측,동일인,케이티,760000,76.00%,-,-,760000.0,76.00%,1000000.0,0.76,0,0,0.76,0.77,
74,비금융회사,케이티엠하우스 ※1),동일인측,등기된 임원,민태기,10000,1.00%,-,-,10000.0,1.00%,1000000.0,0.01,50,0,,0.77,
75,비금융회사,케이티엠하우스 ※1),동일인측,계열회사,KT전략투자조합2호업무집행조합원 (케이티인베스트먼트),140000,14.00%,-,-,140000.0,14.00%,1000000.0,0.14,1,1,0.14,0.14,KT전략투자조합2호업무집행조합원 (케이티인베스트먼트)
76,비금융회사,케이티엠하우스 ※1),동일인측,동일인 측 합계,동일인 측 합계,910000,91.00%,-,-,910000.0,91.00%,1000000.0,0.91,50,50,,,
77,비금융회사,케이티엠하우스 ※1),기타주주,기타,기타,90000,9.00%,-,-,90000.0,9.00%,1000000.0,0.09,99,99,0.09,0.09,
78,비금융회사,케이티엠하우스 ※1),총계,총계,총계,1000000,100.00%,-,-,1000000.0,100.00%,1000000.0,1.0,50,50,,,
79,비금융회사,케이티링커스,동일인측,동일인,케이티,3075232,87.30%,-,-,3075232.0,87.30%,3522472.0,0.8730323477376115,0,0,0.8730323477376115,0.8730323477376115,
80,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스남부,83292,2.36%,-,-,83292.0,2.36%,3522472.0,0.02364589413343811,1,1,0.02364589413343811,0.02364589413343811,케이티서비스남부
81,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스북부,62496,1.77%,-,-,62496.0,1.77%,3522472.0,0.017742085671653317,1,1,0.017742085671653317,0.017742085671653317,케이티서비스북부
82,비금융회사,케이티링커스,동일인측,계열회사,케이티엠오에스남부,33952,0.96%,-,-,33952.0,0.96%,3522472.0,0.009638685559459379,1,1,0.009638685559459379,0.009638685559459379,케이티엠오에스남부
83,비금융회사,케이티링커스,동일인측,동일인 측 합계,동일인 측 합계,3254972,92.41%,-,-,3254972.0,92.41%,3522472.0,0.9240590131021623,50,50,,,
84,비금융회사,케이티링커스,기타주주,기타,기타,267500,7.59%,-,-,267500.0,7.59%,3522472.0,0.07594098689783765,99,99,0.07594098689783765,0.07594098689783765,
85,비금융회사,케이티링커스,총계,총계,총계,3522472,100.00%,-,-,3522472.0,100.00%,3522472.0,1.0,50,50,,,
86,비금융회사,케이티커머스,동일인측,동일인,케이티,266000,19.00%,-,-,266000.0,19.00%,1400000.0,0.19,0,0,0.19,0.19,
87,비금융회사,케이티커머스,동일인측,계열회사,케이티씨에스,1134000,81.00%,-,-,1134000.0,81.00%,1400000.0,0.81,1,1,0.81,0.81,케이티씨에스
88,비금융회사,케이티커머스,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,1400000.0,1.0,50,50,,,
89,비금융회사,케이티커머스,기타주주,기타,기타,-,-,-,-,,-,1400000.0,,99,99,0.0,0.0,
90,비금융회사,케이티커머스,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,1400000.0,1.0,50,50,,,
91,비금융회사,케이티텔레캅,동일인측,동일인,케이티,5765911,86.82%,495163,100.00%,6261074.0,87.73%,7136516.0,0.8773292177863821,0,0,0.8773292177863821,0.8773292177863821,
92,비금융회사,케이티텔레캅,동일인측,동일인 측 합계,동일인 측 합계,5765911,86.82%,495163,100.00%,6261074.0,87.73%,7136516.0,0.8773292177863821,50,50,,,
93,비금융회사,케이티텔레캅,기타주주,기타,기타,875442,13.18%,-,-,875442.0,12.27%,7136516.0,0.12267078221361796,99,99,0.12267078221361796,0.12267078221361796,
94,비금융회사,케이티텔레캅,총계,총계,총계,6641353,100.00%,495163,100.00%,7136516.0,100.00%,7136516.0,1.0,50,50,,,
