,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
72,비금융회사,케이티엠하우스,동일인측,등기된 임원,민태기,10000,1.00%,-,-,10000.0,1.00%,등기된 임원,1000000.0,0.01,50,0,,0.77,
73,비금융회사,케이티엠하우스,동일인측,계열회사,KT전략투자조합2호 업무집행조합원 (케이티인베스트먼트)※1),140000,14.00%,-,-,140000.0,14.00%,계열회사,1000000.0,0.14,1,1,0.14,0.14,KT전략투자조합2호 업무집행조합원 (케이티인베스트먼트)※1)
74,비금융회사,케이티엠하우스,동일인측,동일인 측 합계,동일인 측 합계,910000,91.00%,-,-,910000.0,91.00%,동일인 측 합계,1000000.0,0.91,50,50,,,
75,비금융회사,케이티엠하우스,기타주주,기타,기타,90000,9.00%,-,-,90000.0,9.00%,기타,1000000.0,0.09,99,99,0.09,0.09,
76,비금융회사,케이티엠하우스,총계,총계,총계,1000000,100.00%,-,-,1000000.0,100.00%,총계,1000000.0,1.0,50,50,,,
77,비금융회사,케이티링커스,동일인측,동일인,케이티,3075232,87.30%,-,-,3075232.0,87.30%,동일인,3522472.0,0.8730323477376115,0,0,0.8730323477376115,0.8730323477376115,
78,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스남부,83292,2.36%,-,-,83292.0,2.36%,계열회사,3522472.0,0.02364589413343811,1,1,0.02364589413343811,0.02364589413343811,케이티서비스남부
79,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스북부,62496,1.77%,-,-,62496.0,1.77%,계열회사,3522472.0,0.017742085671653317,1,1,0.017742085671653317,0.017742085671653317,케이티서비스북부
80,비금융회사,케이티링커스,동일인측,계열회사,케이티엠오에스남부,33952,0.96%,-,-,33952.0,0.96%,계열회사,3522472.0,0.009638685559459379,1,1,0.009638685559459379,0.009638685559459379,케이티엠오에스남부
81,비금융회사,케이티링커스,동일인측,동일인 측 합계,동일인 측 합계,3254972,92.41%,-,-,3254972.0,92.41%,동일인 측 합계,3522472.0,0.9240590131021623,50,50,,,
82,비금융회사,케이티링커스,기타주주,기타,기타,267500,7.59%,-,-,267500.0,7.59%,기타,3522472.0,0.07594098689783765,99,99,0.07594098689783765,0.07594098689783765,
83,비금융회사,케이티링커스,총계,총계,총계,3522472,100.00%,-,-,3522472.0,100.00%,총계,3522472.0,1.0,50,50,,,
84,비금융회사,케이티커머스,동일인측,동일인,케이티,266000,19.00%,-,-,266000.0,19.00%,동일인,1400000.0,0.19,0,0,0.19,0.19,
85,비금융회사,케이티커머스,동일인측,계열회사,케이티씨에스,1134000,81.00%,-,-,1134000.0,81.00%,계열회사,1400000.0,0.81,1,1,0.81,0.81,케이티씨에스
86,비금융회사,케이티커머스,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,동일인 측 합계,1400000.0,1.0,50,50,,,
87,비금융회사,케이티커머스,기타주주,기타,기타,-,-,-,-,,-,기타,1400000.0,,99,99,0.0,0.0,
88,비금융회사,케이티커머스,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,총계,1400000.0,1.0,50,50,,,
89,비금융회사,케이티텔레캅,동일인측,동일인,케이티,5765911,86.82%,-,-,5765911.0,80.79%,동일인,7136516.0,0.8079448010766037,0,0,0.8079448010766037,0.8079448010766037,
90,비금융회사,케이티텔레캅,동일인측,동일인 측 합계,동일인 측 합계,5765911,86.82%,-,-,5765911.0,80.79%,동일인 측 합계,7136516.0,0.8079448010766037,50,50,,,
91,비금융회사,케이티텔레캅,기타주주,기타,기타,875442,13.18%,495163,100.00%,1370605.0,19.21%,기타,7136516.0,0.19205519892339623,99,99,0.19205519892339623,0.19205519892339623,
92,비금융회사,케이티텔레캅,총계,총계,총계,6641353,100.00%,495163,100.00%,7136516.0,100.00%,총계,7136516.0,1.0,50,50,,,
93,비금융회사,케이티파워텔,동일인측,동일인,케이티,7771418,44.85%,-,-,7771418.0,44.85%,동일인,17329432.0,0.44845197465214093,0,0,0.44845197465214093,0.4484632271848264,
