,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares
44,비금융회사,케이티아이에스,동일인측,등기된 임원,이응호,30360,0.09%,-,-,30360.0,0.09%,등기된 임원,34802000.0,0.000872363657261077
45,비금융회사,케이티아이에스,동일인측,등기된 임원,조이준,3000,0.01%,-,-,3000.0,0.01%,등기된 임원,34802000.0,8.620194241710247e-05
46,비금융회사,케이티아이에스,동일인측,자기주식,케이티아이에스,975460,2.80%,-,-,975460.0,2.80%,자기주식,34802000.0,0.028028848916728924
47,비금융회사,케이티아이에스,동일인측,동일인 측 합계,동일인 측 합계,11205010,32.20%,-,-,11205010.0,32.20%,동일인 측 합계,34802000.0,0.3219645422676858
48,비금융회사,케이티아이에스,기타주주,기타,기타,23596990,67.80%,-,-,23596990.0,67.80%,기타,34802000.0,0.6780354577323142
49,비금융회사,케이티아이에스,총계,총계,총계,34802000,100.00%,-,-,34802000.0,100.00%,총계,34802000.0,1.0
50,비금융회사,케이티스카이라이프,동일인측,동일인,케이티,23908000,49.99%,-,-,23908000.0,49.99%,동일인,47821966.0,0.499937622807059
51,비금융회사,케이티스카이라이프,동일인측,등기된 임원,김진국,1500,0.00%,-,-,1500.0,0.00%,등기된 임원,47821966.0,3.136633905849876e-05
52,비금융회사,케이티스카이라이프,동일인측,자기주식,케이티스카이라이프,258613,0.54%,-,-,258613.0,0.54%,자기주식,47821966.0,0.005407828695290361
53,비금융회사,케이티스카이라이프,동일인측,동일인 측 합계,동일인 측 합계,24168113,50.54%,-,-,24168113.0,50.54%,동일인 측 합계,47821966.0,0.5053768178414079
54,비금융회사,케이티스카이라이프,기타주주,기타,기타,23653853,49.46%,-,-,23653853.0,49.46%,기타,47821966.0,0.49462318215859213
55,비금융회사,케이티스카이라이프,총계,총계,총계,47821966,100.00%,-,-,47821966.0,100.00%,총계,47821966.0,1.0
56,비금융회사,케이티씨에스,동일인측,동일인,케이티,3177426,7.44%,-,-,3177426.0,7.44%,동일인,42685000.0,0.07443893639451798
57,비금융회사,케이티씨에스,동일인측,등기된 임원,양승규,20000,0.05%,-,-,20000.0,0.05%,등기된 임원,42685000.0,0.0004685486704931475
58,비금융회사,케이티씨에스,동일인측,등기된 임원,유태흥,10400,0.02%,-,-,10400.0,0.02%,등기된 임원,42685000.0,0.0002436453086564367
59,비금융회사,케이티씨에스,동일인측,자기주식,케이티씨에스,872000,2.04%,-,-,872000.0,2.04%,자기주식,42685000.0,0.02042872203350123
60,비금융회사,케이티씨에스,동일인측,계열회사,케이티아이에스,4954704,11.61%,-,-,4954704.0,11.61%,계열회사,42685000.0,0.11607599859435398
61,비금융회사,케이티씨에스,동일인측,계열회사,케이티하이텔,4800000,11.25%,-,-,4800000.0,11.25%,계열회사,42685000.0,0.11245168091835539
62,비금융회사,케이티씨에스,동일인측,동일인측 합계,동일인측 합계,13834530,32.41%,-,-,13834530.0,32.41%,동일인측 합계,42685000.0,0.3241075319198782
63,비금융회사,케이티씨에스,기타주주,기타,기타,28850470,67.59%,-,-,28850470.0,67.59%,기타,42685000.0,0.6758924680801218
64,비금융회사,케이티씨에스,총 계,총 계,총 계,42685000,100.00%,-,-,42685000.0,100.00%,총 계,42685000.0,1.0
65,비금융회사,케이티에스테이트,동일인측,동일인,케이티,15848819,100.00%,-,-,15848819.0,100.00%,동일인,15848819.0,1.0
66,비금융회사,케이티에스테이트,동일인측,동일인 측 합계,동일인 측 합계,15848819,100.00%,-,-,15848819.0,100.00%,동일인 측 합계,15848819.0,1.0
67,비금융회사,케이티에스테이트,기타주주,기타,기타,-,-,-,-,,-,기타,15848819.0,
68,비금융회사,케이티에스테이트,총계,총계,총계,15848819,100.00%,-,-,15848819.0,100.00%,총계,15848819.0,1.0
69,비금융회사,케이티엠앤에스,동일인측,동일인,케이티,47400000,100.00%,-,-,47400000.0,100.00%,동일인,47400000.0,1.0
70,비금융회사,케이티엠앤에스,동일인측,동일인 측 합계,동일인 측 합계,47400000,100.00%,-,-,47400000.0,100.00%,동일인 측 합계,47400000.0,1.0
71,비금융회사,케이티엠앤에스,기타주주,기타,기타,-,-,-,-,,-,기타,47400000.0,
72,비금융회사,케이티엠앤에스,총계,총계,총계,47400000,100.00%,-,-,47400000.0,100.00%,총계,47400000.0,1.0
73,비금융회사,케이티엠하우스 ※1),동일인측,동일인,케이티,760000,76.00%,-,-,760000.0,76.00%,동일인,1000000.0,0.76
74,비금융회사,케이티엠하우스 ※1),동일인측,등기된 임원,민태기,10000,1.00%,-,-,10000.0,1.00%,등기된 임원,1000000.0,0.01
75,비금융회사,케이티엠하우스 ※1),동일인측,계열회사,KT전략투자조합2호업무집행조합원 (케이티인베스트먼트),140000,14.00%,-,-,140000.0,14.00%,계열회사,1000000.0,0.14
76,비금융회사,케이티엠하우스 ※1),동일인측,동일인 측 합계,동일인 측 합계,910000,91.00%,-,-,910000.0,91.00%,동일인 측 합계,1000000.0,0.91
77,비금융회사,케이티엠하우스 ※1),기타주주,기타,기타,90000,9.00%,-,-,90000.0,9.00%,기타,1000000.0,0.09
78,비금융회사,케이티엠하우스 ※1),총계,총계,총계,1000000,100.00%,-,-,1000000.0,100.00%,총계,1000000.0,1.0
79,비금융회사,케이티링커스,동일인측,동일인,케이티,3075232,87.30%,-,-,3075232.0,87.30%,동일인,3522472.0,0.8730323477376115
80,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스남부,83292,2.36%,-,-,83292.0,2.36%,계열회사,3522472.0,0.02364589413343811
81,비금융회사,케이티링커스,동일인측,계열회사,케이티서비스북부,62496,1.77%,-,-,62496.0,1.77%,계열회사,3522472.0,0.017742085671653317
82,비금융회사,케이티링커스,동일인측,계열회사,케이티엠오에스남부,33952,0.96%,-,-,33952.0,0.96%,계열회사,3522472.0,0.009638685559459379
83,비금융회사,케이티링커스,동일인측,동일인 측 합계,동일인 측 합계,3254972,92.41%,-,-,3254972.0,92.41%,동일인 측 합계,3522472.0,0.9240590131021623
84,비금융회사,케이티링커스,기타주주,기타,기타,267500,7.59%,-,-,267500.0,7.59%,기타,3522472.0,0.07594098689783765
85,비금융회사,케이티링커스,총계,총계,총계,3522472,100.00%,-,-,3522472.0,100.00%,총계,3522472.0,1.0
86,비금융회사,케이티커머스,동일인측,동일인,케이티,266000,19.00%,-,-,266000.0,19.00%,동일인,1400000.0,0.19
87,비금융회사,케이티커머스,동일인측,계열회사,케이티씨에스,1134000,81.00%,-,-,1134000.0,81.00%,계열회사,1400000.0,0.81
88,비금융회사,케이티커머스,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,동일인 측 합계,1400000.0,1.0
89,비금융회사,케이티커머스,기타주주,기타,기타,-,-,-,-,,-,기타,1400000.0,
90,비금융회사,케이티커머스,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,총계,1400000.0,1.0
91,비금융회사,케이티텔레캅,동일인측,동일인,케이티,5765911,86.82%,495163,100.00%,6261074.0,87.73%,동일인,7136516.0,0.8773292177863821
92,비금융회사,케이티텔레캅,동일인측,동일인 측 합계,동일인 측 합계,5765911,86.82%,495163,100.00%,6261074.0,87.73%,동일인 측 합계,7136516.0,0.8773292177863821
93,비금융회사,케이티텔레캅,기타주주,기타,기타,875442,13.18%,-,-,875442.0,12.27%,기타,7136516.0,0.12267078221361796
94,비금융회사,케이티텔레캅,총계,총계,총계,6641353,100.00%,495163,100.00%,7136516.0,100.00%,총계,7136516.0,1.0
95,비금융회사,케이티파워텔,동일인측,동일인,케이티,7771418,44.85%,-,-,7771418.0,44.85%,동일인,17329432.0,0.44845197465214093
96,비금융회사,케이티파워텔,동일인측,등기된 임원,김봉균,100,0.00%,-,-,100.0,0.00%,등기된 임원,17329432.0,5.770529582273672e-06
97,비금융회사,케이티파워텔,동일인측,등기된 임원,최규철,95,0.00%,-,-,95.0,0.00%,등기된 임원,17329432.0,5.4820031031599886e-06
98,비금융회사,케이티파워텔,동일인측,동일인 측 합계,동일인 측 합계,7771613,44.85%,-,-,7771613.0,44.85%,동일인 측 합계,17329432.0,0.4484632271848264
99,비금융회사,케이티파워텔,기타주주,기타,기타,9557819,55.15%,-,-,9557819.0,55.15%,기타,17329432.0,0.5515367728151737
100,비금융회사,케이티파워텔,총계,총계,총계,17329432,100.00%,-,-,17329432.0,100.00%,총계,17329432.0,1.0
101,비금융회사,케이티하이텔,동일인측,동일인,케이티,22750000,63.70%,-,-,22750000.0,63.70%,동일인,35715022.0,0.6369868678787318
102,비금융회사,케이티하이텔,동일인측,계열회사,케이티아이에스,1215022,3.40%,-,-,1215022.0,3.40%,계열회사,35715022.0,0.03401991464543967
103,비금융회사,케이티하이텔,동일인측,등기된 임원,김태환,10200,0.03%,-,-,10200.0,0.03%,등기된 임원,35715022.0,0.00028559411219178306
104,비금융회사,케이티하이텔,동일인측,등기된 임원,한영도,1000,0.00%,-,-,1000.0,0.00%,등기된 임원,35715022.0,2.79994227639003e-05
105,비금융회사,케이티하이텔,동일인측,동일인 측 합계,동일인 측 합계,23976222,67.13%,-,-,23976222.0,67.13%,동일인 측 합계,35715022.0,0.6713203760591272
106,비금융회사,케이티하이텔,기타주주,기타,기타,11738800,32.87%,-,-,11738800.0,32.87%,기타,35715022.0,0.32867962394087286
107,비금융회사,케이티하이텔,총 계,총 계,총 계,35715022,100.00%,-,-,35715022.0,100.00%,총 계,35715022.0,1.0
108,비금융회사,스카이라이프티브이,동일인측,동일인,케이티,6000000,14.85%,-,-,6000000.0,14.85%,동일인,40410000.0,0.14847809948032664
109,비금융회사,스카이라이프티브이,동일인측,계열회사,케이티스카이라이프,31410000,77.73%,-,-,31410000.0,77.73%,계열회사,40410000.0,0.77728285077951
110,비금융회사,스카이라이프티브이,동일인측,동일인 측 합계,동일인 측 합계,37410000,92.58%,-,-,37410000.0,92.58%,동일인 측 합계,40410000.0,0.9257609502598366
111,비금융회사,스카이라이프티브이,기타주주,기타,기타,3000000,7.42%,-,-,3000000.0,7.42%,기타,40410000.0,0.07423904974016332
112,비금융회사,스카이라이프티브이,총계,총계,총계,40410000,100.00%,-,-,40410000.0,100.00%,총계,40410000.0,1.0
113,비금융회사,에이치엔씨네트워크,동일인측,동일인,케이티,8903,1.00%,-,-,8903.0,1.00%,동일인,889650.0,0.010007306244028551
114,비금융회사,에이치엔씨네트워크,동일인측,계열회사,비씨카드,880747,99.00%,-,-,880747.0,99.00%,계열회사,889650.0,0.9899926937559714
115,비금융회사,에이치엔씨네트워크,동일인측,동일인 측 합계,동일인 측 합계,889650,100.00%,-,-,889650.0,100.00%,동일인 측 합계,889650.0,1.0
116,비금융회사,에이치엔씨네트워크,기타주주,기타,기타,-,-,-,-,,-,기타,889650.0,
117,비금융회사,에이치엔씨네트워크,총계,총계,총계,889650,100.00%,-,-,889650.0,100.00%,총계,889650.0,1.0
118,비금융회사,이니텍,동일인측,계열회사,에이치엔씨네트워크,11280069,57.00%,-,-,11280069.0,57.00%,계열회사,19790916.0,0.5699619461777312
119,비금융회사,이니텍,동일인측,자기주식,이니텍,399280,2.02%,-,-,399280.0,2.02%,자기주식,19790916.0,0.020174912570999747
120,비금융회사,이니텍,동일인측,동일인 측 합계,동일인 측 합계,11679349,59.01%,-,-,11679349.0,59.01%,동일인 측 합계,19790916.0,0.590136858748731
121,비금융회사,이니텍,기타주주,기타,기타주주,8111567,40.99%,-,-,8111567.0,40.99%,기타,19790916.0,0.409863141251269
122,비금융회사,이니텍,총계,총계,총계,19790916,100.00%,-,-,19790916.0,100.00%,총계,19790916.0,1.0
123,비금융회사,케이티에이엠씨,동일인측,계열회사,케이티에스테이트,1400000,100.00%,-,-,1400000.0,100.00%,계열회사,1400000.0,1.0
124,비금융회사,케이티에이엠씨,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,동일인 측 합계,1400000.0,1.0
125,비금융회사,케이티에이엠씨,기타주주,기타,기타,-,-,-,-,,-,기타,1400000.0,
126,비금융회사,케이티에이엠씨,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,총계,1400000.0,1.0
127,비금융회사,케이티지디에이치,동일인측,동일인,케이티,7400000,100.00%,-,-,7400000.0,100.00%,동일인,7400000.0,1.0
128,비금융회사,케이티지디에이치,동일인측,동일인 측 합계,동일인 측 합계,7400000,100.00%,-,-,7400000.0,100.00%,동일인 측 합계,7400000.0,1.0
129,비금융회사,케이티지디에이치,기타주주,기타,기타,-,-,-,-,,-,기타,7400000.0,
130,비금융회사,케이티지디에이치,총계,총계,총계,7400000,100.00%,-,-,7400000.0,100.00%,총계,7400000.0,1.0
131,비금융회사,케이디리빙,동일인측,계열회사,케이티에스테이트,102000,51.00%,-,-,102000.0,51.00%,계열회사,200000.0,0.51
